cell_id,species,n_obs,is_present
1638,Aeorestes cinereus,1,1
1638,Myotis californicus,0,0
1638,Myotis yumanensis,0,0
1639,Aeorestes cinereus,0,0
1639,Myotis californicus,0,0
1639,Myotis yumanensis,0,0
164,Aeorestes cinereus,0,0
164,Myotis californicus,0,0
164,Myotis yumanensis,0,0
1640,Aeorestes cinereus,0,0
1640,Myotis californicus,0,0
1640,Myotis yumanensis,0,0
1641,Aeorestes cinereus,0,0
1641,Myotis californicus,0,0
1641,Myotis yumanensis,0,0
1642,Aeorestes cinereus,0,0
1642,Myotis californicus,0,0
1642,Myotis yumanensis,0,0
1649,Aeorestes cinereus,0,0
1649,Myotis californicus,0,0
1649,Myotis yumanensis,0,0
165,Aeorestes cinereus,0,0
165,Myotis californicus,0,0
165,Myotis yumanensis,0,0
1650,Aeorestes cinereus,0,0
1650,Myotis californicus,0,0
1650,Myotis yumanensis,0,0
1651,Aeorestes cinereus,0,0
1651,Myotis californicus,0,0
1651,Myotis yumanensis,0,0
1652,Aeorestes cinereus,0,0
1652,Myotis californicus,0,0
1652,Myotis yumanensis,0,0
1653,Aeorestes cinereus,0,0
1653,Myotis californicus,0,0
1653,Myotis yumanensis,0,0
166,Aeorestes cinereus,0,0
166,Myotis californicus,0,0
166,Myotis yumanensis,0,0
167,Aeorestes cinereus,0,0
167,Myotis californicus,0,0
167,Myotis yumanensis,0,0
1700,Aeorestes cinereus,0,0
1700,Myotis californicus,0,0
1700,Myotis yumanensis,1,1
1701,Aeorestes cinereus,0,0
1701,Myotis californicus,0,0
1701,Myotis yumanensis,0,0
1702,Aeorestes cinereus,0,0
1702,Myotis californicus,0,0
1702,Myotis yumanensis,0,0
1703,Aeorestes cinereus,0,0
1703,Myotis californicus,0,0
1703,Myotis yumanensis,0,0
1704,Aeorestes cinereus,0,0
1704,Myotis californicus,0,0
1704,Myotis yumanensis,0,0
1705,Aeorestes cinereus,0,0
1705,Myotis californicus,0,0
1705,Myotis yumanensis,0,0
1706,Aeorestes cinereus,0,0
1706,Myotis californicus,0,0
1706,Myotis yumanensis,0,0
1707,Aeorestes cinereus,0,0
1707,Myotis californicus,0,0
1707,Myotis yumanensis,0,0
1708,Aeorestes cinereus,1,1
1708,Myotis californicus,0,0
1708,Myotis yumanensis,0,0
1709,Aeorestes cinereus,0,0
1709,Myotis californicus,0,0
1709,Myotis yumanensis,0,0
1710,Aeorestes cinereus,3,1
1710,Myotis californicus,0,0
1710,Myotis yumanensis,0,0
1711,Aeorestes cinereus,3,1
1711,Myotis californicus,0,0
1711,Myotis yumanensis,0,0
1712,Aeorestes cinereus,0,0
1712,Myotis californicus,0,0
1712,Myotis yumanensis,0,0
1713,Aeorestes cinereus,1,1
1713,Myotis californicus,0,0
1713,Myotis yumanensis,0,0
1714,Aeorestes cinereus,0,0
1714,Myotis californicus,0,0
1714,Myotis yumanensis,0,0
1715,Aeorestes cinereus,0,0
1715,Myotis californicus,0,0
1715,Myotis yumanensis,0,0
1716,Aeorestes cinereus,0,0
1716,Myotis californicus,0,0
1716,Myotis yumanensis,0,0
1717,Aeorestes cinereus,0,0
1717,Myotis californicus,0,0
1717,Myotis yumanensis,0,0
1718,Aeorestes cinereus,0,0
1718,Myotis californicus,0,0
1718,Myotis yumanensis,1,1
1719,Aeorestes cinereus,0,0
1719,Myotis californicus,0,0
1719,Myotis yumanensis,0,0
1720,Aeorestes cinereus,0,0
1720,Myotis californicus,0,0
1720,Myotis yumanensis,0,0
1721,Aeorestes cinereus,0,0
1721,Myotis californicus,0,0
1721,Myotis yumanensis,0,0
1722,Aeorestes cinereus,0,0
1722,Myotis californicus,0,0
1722,Myotis yumanensis,0,0
1723,Aeorestes cinereus,0,0
1723,Myotis californicus,0,0
